Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
['Left Insula'],['lInsula'],28,-0.035410118,0.005440258,0.002172228,14,0,0,0,0,0,0,0.357142857,0.357142857,0,37,26,13,18,32,19,8,11,15,28_r,28,Insula'],0,0,0,0,0,0.357142857,0.25,0,29,15,23,35,21,11,13,17
['Right Insula'],['rInsula'],29,0.038722034,0.005020339,0.000813559,14,0,0,0,0,0,0,0.357142857,0.142857143,0,37,26,13,18,32,19,8,17,15,29_r,29,Insula'],0,0,0,0,0,0.357142857,0.25,0,29,15,23,35,21,11,13,17
"['Left Cingulate gyrus, Anterior part']",['lACC'],30,-0.004364286,0.034195714,0.012535714,19,0.473684211,0,0.473684211,0,0,0,0,0.315789474,0,8,26,3,18,32,19,26,13,15,30_r,30,"Cingulategyrus,Anteriorpart']",0,0.436842106,0,0,0,0,0.357894737,0,29,5,23,35,21,29,9,17
"['Right Cingulate gyrus, Anterior part']",['rACC'],31,0.008117289,0.035722772,0.014432597,5,0.4,0,0.4,0,0,0,0,0.4,0,11,26,5,18,32,19,26,8,15,31_r,31,"Cingulategyrus,Anteriorpart']",0,0.436842106,0,0,0,0,0.357894737,0,29,5,23,35,21,29,9,17
"['Left Cingulate gyrus, Middle part']",['lMCC'],32,-0.005882535,-0.016100979,0.040214323,16,0.1875,0.1875,0,0,0.25,0,0,0,0.3125,24,18,13,18,17,19,26,23,3,32_r,32,"Cingulategyrus,Middlepart']",0.260416667,0.033333334,0,0.225,0,0,0.033333334,0.289583334,11,11,23,23,21,29,23,5
"['Right Cingulate gyrus, Middle part']",['rMCC'],33,0.007664094,-0.010197004,0.038437585,15,0.4,0.333333333,0.066666667,0,0.2,0,0,0.066666667,0.266666667,11,11,11,18,23,19,26,20,6,33_r,33,"Cingulategyrus,Middlepart']",0.260416667,0.033333334,0,0.225,0,0,0.033333334,0.289583334,11,11,23,23,21,29,23,5
"['Left Cingulate gyrus, Posterior part']",['lPCC'],34,-0.005205184,-0.044172786,0.023278618,5,0.6,0.6,0,0,0.2,0,0,0,0,4,4,13,18,23,19,26,23,15,34_r,34,"Cingulategyrus,Posteriorpart']",0.675,0,0,0.225,0,0,0,0,3,15,23,23,21,29,27,17
"['Right Cingulate gyrus, Posterior part']",['rPCC'],35,0.007176119,-0.043086567,0.020471642,4,0.75,0.75,0,0,0.25,0,0,0,0,2,2,13,18,17,19,26,23,15,35_r,35,"Cingulategyrus,Posteriorpart']",0.675,0,0,0.225,0,0,0,0,3,15,23,23,21,29,27,17
['Left Hippocampus'],['lHip'],36,-0.025255365,-0.021963519,-0.01138412,5,0.4,0.4,0,0,0,0,0,0.4,0,11,7,13,18,32,19,26,8,15,36_r,36,Hippocampus'],0.485714286,0,0,0,0,0,0.342857143,0,5,15,23,35,21,29,11,17
['Right Hippocampus'],['rHip'],37,0.028945032,-0.020991543,-0.011577167,7,0.571428571,0.571428571,0,0,0,0,0,0.285714286,0,5,5,13,18,32,19,26,14,15,37_r,37,Hippocampus'],0.485714286,0,0,0,0,0,0.342857143,0,5,15,23,35,21,29,11,17
