,Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
23,"['Right Superior Frontal gyrus, Medial']",['rSFGm'],23,0.008750703,0.049528585,0.028926898,15,0.466666667,0.0,0.466666667,0.0,0.0,0.0,0.0,0.0,0.0,9,26.0,4.0,18.0,32.0,19.0,26.0,23.0,15.0,23_r,23,"SuperiorFrontalgyrus,Medial']",0.0,0.48333333349999996,0.0,0.0,0.0,0.0,0.044117647,0.0,29.0,1.0,23.0,35.0,21.0,29.0,21.0,17.0
24,"['Left Superior Frontal gyrus, Medial Orbital']",['lSFGmo'],24,-0.005438108,0.052517385,-0.008856745,6,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6,26.0,1.0,18.0,32.0,19.0,26.0,23.0,15.0,24_r,24,"SuperiorFrontalgyrus,MedialOrbital']",0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,23.0,35.0,21.0,29.0,27.0,17.0
25,"['Right Superior Frontal gyrus, Medial Orbital']",['rSFGmo'],25,0.007834112,0.050406542,-0.008516355,5,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,11,26.0,5.0,18.0,32.0,19.0,26.0,23.0,15.0,25_r,25,"SuperiorFrontalgyrus,MedialOrbital']",0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,23.0,35.0,21.0,29.0,27.0,17.0
26,['Left Gyrus Rectus'],['lRectus'],26,-0.005441315,0.035706573,-0.019568075,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,23.0,15.0,26_r,26,GyrusRectus'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,23.0,35.0,21.0,29.0,27.0,17.0
27,['Right Gyrus Rectus'],['rRectus'],27,0.008002685,0.034451007,-0.019436242,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,23.0,15.0,27_r,27,GyrusRectus'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,23.0,35.0,21.0,29.0,27.0,17.0
28,['Left Insula'],['lInsula'],28,-0.035410118,0.005440258,0.002172228,14,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857,0.357142857,0.0,37,26.0,13.0,18.0,32.0,19.0,8.0,11.0,15.0,28_r,28,Insula'],0.0,0.0,0.0,0.0,0.0,0.357142857,0.25,0.0,29.0,15.0,23.0,35.0,21.0,11.0,13.0,17.0
29,['Right Insula'],['rInsula'],29,0.038722034,0.005020339,0.000813559,14,0.0,0.0,0.0,0.0,0.0,0.0,0.357142857,0.142857143,0.0,37,26.0,13.0,18.0,32.0,19.0,8.0,17.0,15.0,29_r,29,Insula'],0.0,0.0,0.0,0.0,0.0,0.357142857,0.25,0.0,29.0,15.0,23.0,35.0,21.0,11.0,13.0,17.0
30,"['Left Cingulate gyrus, Anterior part']",['lACC'],30,-0.004364286,0.034195714,0.012535714,19,0.473684211,0.0,0.473684211,0.0,0.0,0.0,0.0,0.315789474,0.0,8,26.0,3.0,18.0,32.0,19.0,26.0,13.0,15.0,30_r,30,"Cingulategyrus,Anteriorpart']",0.0,0.4368421055,0.0,0.0,0.0,0.0,0.357894737,0.0,29.0,5.0,23.0,35.0,21.0,29.0,9.0,17.0
31,"['Right Cingulate gyrus, Anterior part']",['rACC'],31,0.008117289,0.035722772,0.014432597,5,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,11,26.0,5.0,18.0,32.0,19.0,26.0,8.0,15.0,31_r,31,"Cingulategyrus,Anteriorpart']",0.0,0.4368421055,0.0,0.0,0.0,0.0,0.357894737,0.0,29.0,5.0,23.0,35.0,21.0,29.0,9.0,17.0
32,"['Left Cingulate gyrus, Middle part']",['lMCC'],32,-0.005882535,-0.016100979,0.040214323,16,0.1875,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,0.3125,24,18.0,13.0,18.0,17.0,19.0,26.0,23.0,3.0,32_r,32,"Cingulategyrus,Middlepart']",0.2604166665,0.0333333335,0.0,0.225,0.0,0.0,0.0333333335,0.2895833335,11.0,11.0,23.0,23.0,21.0,29.0,23.0,5.0
